longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price
-74.048338,4.702123,5.0,2.0,57.0,0.0,1.0,2.0,766000.0,4.0,2474000.0
-74.0530995,4.6526592,6.0,4.0,320.0,23.0,4.0,3.0,1800000.0,7.0,12100000.0
-74.1226348,4.6595391,4.0,2.0,69.0,4.0,2.0,1.0,0.0,9.0,2800000.0
-74.031322651557,4.704158461981,5.0,2.0,60.0,23.0,2.0,1.0,0.0,1.0,3500000.0
-74.0826825,4.6074128,3.0,2.0,70.0,0.0,3.0,1.0,0.0,8.0,2200000.0
-74.051871726501,4.7097149177062,5.0,3.0,165.0,31.0,3.0,2.0,850000.0,1.0,7500000.0
-74.0497,4.65573,6.0,3.0,250.0,12.0,3.0,3.0,2082000.0,1.0,13500000.0
-74.052765369415,4.6970287261534,6.0,3.0,78.0,23.0,2.0,1.0,0.0,6.0,4500000.0
-74.054224441785,4.694940589692,6.0,2.0,54.0,4.0,1.0,1.0,450000.0,5.0,2700000.0
-74.0747635,4.7321961,4.0,3.0,115.0,4.0,3.0,1.0,0.0,0.0,3500000.0
-74.0505305,4.6793933,6.0,1.0,72.0,31.0,2.0,1.0,740000.0,0.0,2900000.0
-74.0273364,4.7492785,4.0,1.0,35.0,0.0,1.0,1.0,0.0,2.0,1400000.0
-74.041443,4.675301,6.0,2.0,58.0,23.0,1.0,2.0,714000.0,3.0,3000000.0
-74.045,4.668,6.0,3.0,164.0,31.0,3.0,1.0,1200000.0,3.0,7300000.0
-74.056391716003,4.6714296826824,5.0,3.0,95.0,31.0,2.0,2.0,701000.0,3.0,5235000.0
-74.0273364,4.7492785,4.0,1.0,32.0,4.0,2.0,0.0,180000.0,0.0,1340000.0
-74.0470635,4.6811496,6.0,3.0,317.0,23.0,4.0,2.0,0.0,0.0,8000000.0
-74.068504061377,4.5988522315445,3.0,3.0,160.0,31.0,5.0,0.0,0.0,0.0,3200000.0
-74.1674301,4.6957755,3.0,2.0,47.0,0.0,3.0,0.0,150000.0,0.0,1150000.0
-74.0511709,4.6704154,6.0,3.0,343.0,31.0,3.0,3.0,0.0,5.0,17000000.0
-74.0473819,4.6594424,6.0,3.0,465.5,12.0,3.0,4.0,0.0,12.0,28000000.0
-74.0446352,4.7081894,6.0,2.0,168.0,23.0,3.0,2.0,0.0,0.0,11000000.0
-74.040334,4.6937903,5.0,3.0,110.0,12.0,3.0,2.0,0.0,2.0,3300000.0
-74.1214956,4.5820428,3.0,1.0,60.0,0.0,2.0,0.0,100000.0,0.0,1400000.0
-74.064668,4.693885,5.0,3.0,123.0,23.0,3.0,2.0,0.0,0.0,4500000.0
-74.043659714819,4.6874235643764,5.0,2.0,60.0,4.0,1.0,1.0,0.0,3.0,2970000.0
